UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;VEDOM;PHONE;OKRUG;RAYON;TYPE;LENGTH_KM;LEN_SVET;MODDATE;MODUSER;LAT;LON
17409;"Лесопарковая зона ""Лосиный остров""";Лыжная трасса;Улица Курганская ,       дом 3-9;37,808751;55,830227;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 467-65-84;ВАО;Гольяново;Лыжные трассы и базы (сезонные);7,5;0;0;;55.830227;37.808751
16302;ПИП Измайлово, лесопарк Терлецкий;Лыжная трасса;Свободный проспект,     дом 2 А напротив;37,82172;55,76628;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 918-98-40;ВАО;Ивановское;Лыжные трассы и базы (сезонные);1,6;0,8;0;;55.76628;37.82172
17408;ПИП Измайлово, лесопарк Терлецкий;Лыжная трасса;Улица Металургов,    дом 60 напротив;37,807383;55,762217;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 965-25-73;ВАО;Перово;Лыжные трассы и базы (сезонные);3;3;0;;55.762217;37.807383
17018;Салтыковский парк;Лыжная трасса;Улица Лухмановская,   дом 19 А;37,897892;55,723972;;;;;;Департамент физической культуры и спорта города Москвы;(499) 797-50-10;ВАО;Косино-Ухтомский;Лыжные трассы и базы (сезонные);8;0;0;;55.723972;37.897892
16647;"Лесопарковая зона ""Лосиный остров""";Лыжная трасса;Открытое шоссе, дом 29;37,762366;55,830796;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 167-04-05;ВАО;Метрогородок;Лыжные трассы и базы (сезонные);9;0;0;;55.830796;37.762366
17019;Сатыковский Лесопарк;Лыжная трасса;Улица Салтыковская,    дом 33;37,876421;55,73942;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 700-37-07;ВАО;Новокосино;Лыжные трассы и базы (сезонные);2;0;0;;55.73942;37.876421
16307;"ПКиО ""Измайловский""";Лыжная трасса;Северная часть парка;37,789189;55,786006;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 166-36-55;ВАО;Измайлово;Лыжные трассы и базы (сезонные);8;8;0;;55.786006;37.789189
16650;"Лесопарковая зона ""Лосиный остров""";Лыжная трасса;Яузская аллея;37,684607;55,830146;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 268-60-45;ВАО;Богородское;Лыжные трассы и базы (сезонные);2,5;0;0;;55.830146;37.684607
16890;"ПИП ""Косинский""";Лыжная трасса;Улица Медведева,       дом 26;37,888699;55,719007;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 700-37-07;ВАО;Косино-Ухтомский;Лыжные трассы и базы (сезонные);3,2;0;0;;55.719007;37.888699
16891;"ПИП ""Измайлово""";Лыжная трасса;Вход с улицы Чечулина;37,8175;55,778254;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(499) 367-89-18;ВАО;Ивановское;Лыжные трассы и базы (сезонные);1,5;0;0;;55.778254;37.8175
17352;"СК ""Крылья Советов""";Лыжная трасса;Проспект Буденного, дом17А;37,728327;55,774808;;;;;;федеральная;(499) 785-89-74;ВАО;Соколиная гора;Лыжные трассы и базы (сезонные);0,5;0,5;0;;55.774808;37.728327
16649;"НП ""Лосиный остров""";Лыжная трасса;Улица Уральская,    дом 19;37,794451;55,822317;;;;;;Департамент природопользования и охраны окружающей среды города Москвы;(495) 467-65-84;ВАО;Гольяново;Лыжные трассы и базы (сезонные);7,5;0;0;;55.822317;37.794451
16893;ПК № 11 Гольяновский парк;Лыжная трасса;УлицаАлтайская,   владение 4;37,803481;55,820193;;;;;;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;(985) 411-46-45;ВАО;Гольяново;Лыжные трассы и базы (сезонные);3;3;0;;55.820193;37.803481
16904;ПКиО Сокольники;Лыжная трасса;Улица Сокольнический вал дом 1, строение 1;37,676549;55,792598;;;;;;Департамент культуры города Москвы;(499) 269-13-13;ВАО;Сокольники;Лыжные трассы и базы (сезонные);45;11;0;;55.792598;37.676549
11973;Ульяновский лесопарк, между улица Рассказовская, д. 31 и Киевким шоссе;Лыжная трасса;Улица Рассказовская, дом 31;37,310324;55,613487;;;;;;Федеральная;(499) 144-39-22;ЗАО;Внуково;Лыжные трассы и базы (сезонные);7;0;0;;55.613487;37.310324
13512;"Природно исторический парк ""Москворецкий"", Гребной канал";Лыжная трасса;Улица Крылатская, дом 2, стр. 5;37,44295;55,752985;;;;;;Департамент физической культуры и спорта города Москвы;(499) 144-39-22;ЗАО;Крылатское;Лыжные трассы и базы (сезонные);7,5;0;0;;55.752985;37.44295
13546;"Природно исторический парк ""Москворецкий"", между улицей Тимошенко, дом 1 и МКАД";Лыжная трасса;Улица Маршала Тимошенко, дом 1;37,392463;55,741791;;;;;;Муниципалитет;(499) 144-39-22;ЗАО;Кунцево;Лыжные трассы и базы (сезонные);25;0;0;;55.741791;37.392463
13012;"Природно исторический парк ""Москворецкий"", между Крылатским мостом и улица Новозаводской";Лыжная трасса;Парк культуры и отдыха Фили, Большая Филёвская, дом 32, корпус 3;37,467554;55,742434;;;;;;Департамент культуры города Москвы;(499) 145-45-05;ЗАО;Филёвский парк;Лыжные трассы и базы (сезонные);9;2;0;;55.742434;37.467554
