UIDNFTN;NAME;LABEL;ADDRESS;X;Y;BUI_NO_BTI;CAD_NO;STREET_BTI;HOUSE_BTI;HADD_BTI;OKRUG;RAYON;ZAKAZ;AREA_SQM;X;Y;LAT;LON
78;Шипиловский пр-зд,д.63;Шипиловский пр-зд,д.63;Шипиловский пр-зд,д.63;4198189.49870000030;7479507.33079999960;0;;;;;ЮАО;Орехово-Борисово Южное;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4198189.49870000030;7479507.33079999960;55.601582074150556;37.712977923122814
79;Пролетарский пр-кт,д.41;Пролетарский пр-кт,д.41;Пролетарский пр-кт,д.41;4192506.08240000020;7485927.36070000010;0;;;;;ЮАО;Царицыно;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4192506.08240000020;7485927.36070000010;55.634150070968026;37.66192292583977
80;Сумская ул., напротив вл.1-3;Сумская ул., напротив вл.1-3;Сумская ул., напротив вл.1-3;4186216.75389999990;7485639.24390000010;0;;;;;ЮАО;Чертаново Северное;Префектура;1800.00000000000;4186216.75389999990;7485639.24390000010;55.632689070802705;37.60542492665578
81;Днепропетровская ул,31;Днепропетровская ул,31;Днепропетровская ул,31;4184038.56540000020;7482837.51840000040;0;;;;;ЮАО;Чертаново Центральное;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4184038.56540000020;7482837.51840000040;55.618479070232105;37.58585792644335
82;ФОК по ул.Красного Маяка, вл.28;ФОК по ул.Красного Маяка, вл.28;ФОК по ул.Красного Маяка, вл.28;4182566.47640000000;7480748.61689999980;0;;;;;ЮАО;Чертаново Центральное;Департамент природопользования и охраны окружающей среды города Москвы;800.00000000000;4182566.47640000000;7480748.61689999980;55.60788107083939;37.57263392596051
83;Россошанская ул.,6-10;Россошанская ул.,6-10;Россошанская ул.,6-10;4186559.39509999980;7477558.40610000030;0;;;;;ЮАО;Чертаново Южное;Префектура;800.00000000000;4186559.39509999980;7477558.40610000030;55.59169007281375;37.60850292492507
84;ул.Шверника,д.9,к.5;ул.Шверника,д.9,к.5;ул.Шверника,д.9,к.5;4184263.31980000020;7497720.17740000040;0;;;;;ЮЗАО;Академический;Префектура;480.00000000000;4184263.31980000020;7497720.17740000040;55.69390306684887;37.587876929570285
85;Московский городской Дворец детского творчества, ул.Косыгина, 17;Московский городской Дворец детского творчества, ул.Косыгина, 17;Московский городской Дворец детского творчества, ул.Косыгина, 17;4180469.44050000000;7499600.11039999970;0;;;;;ЮЗАО;Гагаринский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4180469.44050000000;7499600.11039999970;55.70342006589263;37.55379593195733
86;Каховка,д.11,стр.1;Каховка,д.11,стр.1;Каховка,д.11,стр.1;4184154.67180000010;7488874.81439999960;0;;;;;ЮЗАО;Зюзино;Префектура;1800.00000000000;4184154.67180000010;7488874.81439999960;55.64909306912845;37.58690092798039
87;ул.Введенского,д.13,к2;ул.Введенского,д.13,к2;ул.Введенского,д.13,к2;4179665.26810000000;7487283.88190000040;0;;;;;ЮЗАО;Коньково;Префектура;860.00000000000;4179665.26810000000;7487283.88190000040;55.641028069017196;37.54657192837746
88;Севастопольский пр-кт,д.33-37;Севастопольский пр-кт,д.33-37;Севастопольский пр-кт,д.33-37;4184863.44320000010;7494014.19610000030;0;;;;;ЮЗАО;Котловка;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4184863.44320000010;7494014.19610000030;55.675135068030514;37.593267929796056
89;Ленинский пр-кт, вл.82-86;Ленинский пр-кт, вл.82-86;Ленинский пр-кт, вл.82-86;4178203.08680000020;7495304.01850000020;0;;;;;ЮЗАО;Ломоносовский;Префектура;2000.00000000000;4178203.08680000020;7495304.01850000020;55.68166806709869;37.53343693027802
90;Воронцовский парк;Воронцовский парк;Воронцовский парк;4178015.29069999980;7492333.18919999990;0;;;;;ЮЗАО;Обручевский;Департамент жилищно-коммунального хозяйства и благоустройства города Москвы;800.00000000000;4178015.29069999980;7492333.18919999990;55.666619066970036;37.53174992920874
91;ул. Старобитцевская, напротив д.23;ул. Старобитцевская, напротив д.23;ул. Старобитцевская, напротив д.23;4182806.14720000000;7475117.03330000020;0;;;;;ЮЗАО;Северное Бутово;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4182806.14720000000;7475117.03330000020;55.57929507297907;37.57478692538848
92;ул.Островитянова,вл.10;ул.Островитянова,вл.10;ул.Островитянова,вл.10;4173585.44300000000;7487761.22570000030;0;;;;;ЮЗАО;Теплый Стан;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4173585.44300000000;7487761.22570000030;55.643448068138255;37.491955930256424
93;Проектируемый пр-зд,46-68 (ул.Цурюпы,д.13);Проектируемый пр-зд,46-68 (ул.Цурюпы,д.13);Проектируемый пр-зд,46-68 (ул.Цурюпы,д.13);4182335.26629999980;7492177.66150000040;0;;;;;ЮЗАО;Черемушки;Префектура;1800.00000000000;4182335.26629999980;7492177.66150000040;55.66583106810313;37.570556930293776
94;ул.Южнобутовская,д.34-36 (Детский парк);ул.Южнобутовская,д.34-36 (Детский парк);ул.Южнобутовская,д.34-36 (Детский парк);4178529.69749999980;7467826.06470000000;0;;;;;ЮЗАО;Южное Бутово;Префектура;1800.00000000000;4178529.69749999980;7467826.06470000000;55.542255073930285;37.536370924115694
95;ул.Голубинская.д.7,к.2;ул.Голубинская.д.7,к.2;ул.Голубинская.д.7,к.2;4176119.96490000000;7480509.17219999990;0;;;;;ЮЗАО;Ясенево;Префектура;1800.00000000000;4176119.96490000000;7480509.17219999990;55.6066660700194;37.51472392786348
96;ул. Рассказовская, д.31;ул. Рассказовская, д.31;ул. Рассказовская, д.31;4153372.71790000000;7481856.26659999970;0;;;;;ЗАО;Внуково;Префектура;800.00000000000;4153372.71790000000;7481856.26659999970;55.61350106586235;37.310381931346065
97;ул.Кастанаевская, рядом с вл.64;ул.Кастанаевская, рядом с вл.64;ул.Кастанаевская, рядом с вл.64;4169860.02540000020;7505519.44630000000;0;;;;;ЗАО;Дорогомилово;Префектура;800.00000000000;4169860.02540000020;7505519.44630000000;55.73337106181631;37.45848993455835
98;"Парк ""Москворецкий""";"Парк ""Москворецкий""";"Парк ""Москворецкий""";4189767.95750000000;7505842.70949999990;0;;;;;ЗАО;Крылатское;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4189767.95750000000;7505842.70949999990;55.735006066183075;37.637325931364785
42;ул.Курганская, напротив д.6-10;ул.Курганская, напротив д.6-10;ул.Курганская, напротив д.6-10;4209923.35350000020;7524486.70610000010;0;;;;;ВАО;Гольяново;Департамент природопользования и охраны окружающей среды города Москвы;0.00000000000;4209923.35350000020;7524486.70610000010;55.82918806391205;37.8183849342076
43;Молостовых, 10д;Молостовых, 10д;Молостовых, 10д;4210921.66619999990;7510603.45069999990;0;;;;;ВАО;Ивановское;Префектура;800.00000000000;4210921.66619999990;7510603.45069999990;55.75907706821604;37.827352929775
44;"ПКиО ""Измайлово""";"ПКиО ""Измайлово""";"ПКиО ""Измайлово""";4203082.65909999980;7513418.43740000020;0;;;;;ВАО;Измайлово;Департамент культуры города Москвы;0.00000000000;4203082.65909999980;7513418.43740000020;55.77330306579391;37.75693393087249
45;Лухмановская, 35, напротив разворотного круга;Лухмановская, 35, напротив разворотного круга;Лухмановская, 35, напротив разворотного круга;4220555.36579999980;7503760.62420000040;0;;;;;ВАО;Косино-Ухтомский;Префектура;1800.00000000000;4220555.36579999980;7503760.62420000040;55.724474070959324;37.91389392570796
